VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2022-01-01 00:35:40,2022-01-01 00:53:29,2.0,3.8,1.0,1,14.5,3.0,0.5,3.65,0.0,0.3,21.95
1,2022-01-01 00:33:43,2022-01-01 00:42:07,1.0,2.1,1.0,1,8.0,0.5,0.5,4.0,0.0,0.3,13.3
2,2022-01-01 00:53:21,2022-01-01 01:02:19,1.0,0.97,1.0,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56
2,2022-01-01 00:25:21,2022-01-01 00:35:23,1.0,1.09,1.0,2,8.0,0.5,0.5,0.0,0.0,0.3,11.8
2,2022-01-01 00:36:48,2022-01-01 01:14:20,1.0,4.3,1.0,1,23.5,0.5,0.5,3.0,0.0,0.3,30.3
1,2022-01-01 00:40:15,2022-01-01 01:09:48,1.0,10.3,1.0,1,33.0,3.0,0.5,13.0,6.55,0.3,56.35
2,2022-01-01 00:20:50,2022-01-01 00:34:58,1.0,5.07,1.0,1,17.0,0.5,0.5,5.2,0.0,0.3,26.0
2,2022-01-01 00:13:04,2022-01-01 00:22:45,1.0,2.02,1.0,2,9.0,0.5,0.5,0.0,0.0,0.3,12.8
2,2022-01-01 00:30:02,2022-01-01 00:44:49,1.0,2.71,1.0,1,12.0,0.5,0.5,2.25,0.0,0.3,18.05
2,2022-01-01 00:48:52,2022-01-01 00:53:28,1.0,0.78,1.0,2,5.0,0.5,0.5,0.0,0.0,0.3,8.8
